8000;10,8257;;1;10,82324;;;;;;1;1
8000;10,8262;;2;5,522462;;;;;;2;1,959857759
8000;10,8214;;4;2,937174;;;;;;4;3,684916181
8000;10,8237;;8;1,66889;;;;;;8;6,48529262
8000;10,8192;;16;1,200352;;;;;;16;9,016721762
8000;5,50341;;;;;;;;;;
8000;5,54044;;;;;;;;;;
8000;5,52787;;;;;;;;;;
8000;5,50348;;;;;;;;;;
8000;5,53711;;;;;;;;;;
8000;2,90624;;;;;;;;;;
8000;2,94588;;;;;;;;;;
8000;2,94317;;;;;;;;;;
8000;2,9955;;;;;;;;;;
8000;2,89508;;;;;;;;;;
8000;1,68075;;;;;;;;;;
8000;1,69674;;;;;;;;;;
8000;1,67676;;;;;;;;;;
8000;1,62723;;;;;;;;;;
8000;1,66297;;;;;;;;;;
8000;1,2735;;;;;;;;;;
8000;1,16713;;;;;;;;;;
8000;1,22447;;;;;;;;;;
8000;1,16281;;;;;;;;;;
8000;1,17385;;;;;;;;;;
