8000;10,8257;
8000;10,8262;
8000;10,8214;
8000;10,8237;
8000;10,8192;
8000;5,50341;
8000;5,54044;
8000;5,52787;
8000;5,50348;
8000;5,53711;
8000;2,90624;
8000;2,94588;
8000;2,94317;
8000;2,9955;
8000;2,89508;
8000;1,68075;
8000;1,69674;
8000;1,67676;
8000;1,62723;
8000;1,66297;
8000;1,2735;
8000;1,16713;
8000;1,22447;
8000;1,16281;
8000;1,17385;
8000;10.8662;
8000;10.7713;
8000;5.65563;
8000;5.61885;
8000;5.62624;
8000;5.62497;
8000;5.61774;
8000;2.9563;
8000;2.93091;
8000;2.94846;
8000;2.95686;
8000;2.99873;
8000;1.74973;
8000;1.75029;
8000;1.63521;
8000;1.68262;
8000;1.87125;
8000;1.72555;
8000;1.72807;
8000;1.71065;
8000;1.7281;
8000;1.70991;
8000;1.72462;
8000;3.88825;
8000;3.94507;
8000;4.01687;
8000;3.71687;
8000;3.64587;
--------8000;11.132;
8000;11.1373;
8000;11.1351;
8000;11.052;
8000;10.7656;
8000;5.64018;
8000;5.61732;
8000;5.62214;
8000;5.6213;
8000;5.62265;
8000;2.97937;
8000;2.95229;
8000;2.93055;
8000;2.91795;
8000;2.96575;
8000;1.77027;
8000;1.79489;
8000;1.7063;
8000;1.6904;
8000;1.74197;
8000;1.7194;
8000;1.71546;
8000;1.73439;
8000;1.70644;
8000;1.73109;
8000;4.38983;
8000;4.10333;
8000;4.3895;
8000;4.16596;
8000;3.89623;
------
384;2.39237;
384;2.33446;
384;2.3391;
384;2.33463;
384;2.34025;
384;1.38467;
384;1.47757;
384;1.5803;
384;1.35357;
384;1.36754;
384;1.26159;
384;1.29142;
384;1.23545;
384;1.26799;
384;1.22568;
384;1.13436;
384;1.38463;
384;1.41035;
384;1.20999;
384;1.24231;
384;1.46713;
384;1.40647;
384;1.44118;
384;1.44565;
384;1.43924;
384;8.64529;
384;2.2215;
384;2.28843;
384;1.91679;
384;7.50106;
